name; prop; #initonly; #finalOnly; #noChange; #change; #tool; #time
topologies/topzoo/Xspedius.gml;(Reach 26);5;5;2;1; BDD opt;0.05621194839477539
topologies/topzoo/Ion.gml;(Reach 102);20;20;5;1; BDD opt;0.16836833953857422
topologies/topzoo/Biznet.gml;(Reach 19);4;4;12;1; BDD opt;0.01273036003112793
topologies/topzoo/Niif.gml;(Reach 14);3;3;4;1; BDD opt;0.03669595718383789
topologies/topzoo/VtlWavenet2008.gml;(Reach 64);28;32;1;1; BDD opt;0.3153092861175537
topologies/topzoo/Packetexchange.gml;(Reach 9);4;4;5;1; BDD opt;0.010746240615844727
topologies/topzoo/Syringa.gml;(Reach 22);16;17;15;1; BDD opt;0.1816844940185547
topologies/topzoo/Renater2010.gml;(Reach 11);3;3;6;1; BDD opt;0.03606367111206055
topologies/topzoo/Sunet.gml;(Reach 18);1;1;11;1; BDD opt;0.011406421661376953
topologies/topzoo/Darkstrand.gml;(Reach 18);8;8;3;1; BDD opt;0.04977822303771973
topologies/topzoo/UsCarrier.gml;(Reach 147);7;8;28;1; BDD opt;0.12870526313781738
topologies/topzoo/Renater2004.gml;(Reach 29);2;2;5;1; BDD opt;0.009859323501586914
topologies/topzoo/HiberniaUs.gml;(Reach 10);4;4;7;1; BDD opt;0.011484146118164062
topologies/topzoo/CrlNetworkServices.gml;(Reach 15);5;5;5;1; BDD opt;0.05427956581115723
topologies/topzoo/Spiralight.gml;(Reach 10);4;4;4;1; BDD opt;0.008446216583251953
topologies/topzoo/Geant2012.gml;(Reach 33);1;1;7;1; BDD opt;0.04655957221984863
topologies/topzoo/Missouri.gml;(Reach 27);1;1;13;1; BDD opt;0.056471824645996094
topologies/topzoo/Uunet.gml;(Reach 17);2;2;6;1; BDD opt;0.03629803657531738
topologies/topzoo/VtlWavenet2011.gml;(Reach 68);28;32;1;1; BDD opt;0.30803513526916504
topologies/topzoo/Digex.gml;(Reach 26);8;8;2;1; BDD opt;0.03881406784057617
topologies/topzoo/Psinet.gml;(Reach 17);6;6;5;1; BDD opt;0.028903484344482422
topologies/topzoo/Bellcanada.gml;(Reach 10);7;7;6;1; BDD opt;0.060655832290649414
topologies/topzoo/HiberniaNireland.gml;(Reach 10);5;5;2;1; BDD opt;0.010916471481323242
topologies/topzoo/Nextgen.gml;(Reach 15);5;5;5;1; BDD opt;0.011918783187866211
topologies/topzoo/GtsCe.gml;(Reach 13);5;5;16;1; BDD opt;0.09800887107849121
topologies/topzoo/Peer1.gml;(Reach 11);2;2;4;1; BDD opt;0.008048534393310547
topologies/topzoo/HostwayInternational.gml;(Reach 14);4;4;4;1; BDD opt;0.009969711303710938
topologies/topzoo/Aarnet.gml;(Reach 11);4;4;5;1; BDD opt;0.011586189270019531
topologies/topzoo/Deltacom.gml;(Reach 108);12;12;11;1; BDD opt;0.12215876579284668
topologies/topzoo/Iris.gml;(Reach 21);3;3;8;1; BDD opt;0.04563260078430176
topologies/topzoo/Uninett2010.gml;(Reach 13);4;4;5;1; BDD opt;0.07015371322631836
topologies/topzoo/PionierL1.gml;(Reach 16);8;8;3;1; BDD opt;0.046320438385009766
topologies/topzoo/Kdl.gml;(Reach 12);48;49;10;1; BDD opt;1.5280470848083496
topologies/topzoo/HiberniaGlobal.gml;(Reach 27);9;10;6;2; BDD opt;0.08812117576599121
